unique.trimOccurrenceData.recordedBy.

Adrian Wenner
Adrien Wenner
A. M. Wenner
A. Wenner
R. W. Thorp
UCSBees
UCSB Natural History Collections Club
Josue Alatorre
UCSBees Survey
UCSBees survey
David Dewey
R. O. Schuster
J. S. Ascher, R. W. Thorp
J. S. Ascher
D. R. Miller
R. L. Brumley
A. A. Grigarick
D. S. Horning
B. J. Donovan
E. A. Sugden
Charles L. Remington, Sheldon T. Remington
Eric E. Remington
Charles L. Remington
Chas L. Remington
Jeanne E. Remington, Charles L. Remington
J. Powell
R. L. Langston
M. C. Whitmore
P. A. Rude
A. J. Slater
B. A. Bowers
G. Clark
M. E. Irwin
J. A. Powell
J. A. Powell, P. Hart
J. D. Pinto
Susan Teel
NPS Staff
Irwin, M.E.
Pinto, J.D.
Clark, G.
Bowers, B.A.
Slater, A.J.
Powell, J.A.
Langston, R.L.
Whitmore, M.C.
Powell, J.A., P. Hart
Rude, P.A.
E.P. VanDuzee
J.D. Pinto
J. LaSalle
R.L. Brumley
D.L. Horton
R.W. Rust
R.W. Thorp
A. Mayor
K.W. Cooper
D. Hawks
R. L. Doutt
S. E. Miller, E. Paddock, et al
S. Miller, E. Paddock
R.L. Doutt
Scott E. Miller & E. Paddock
S. Miller & E. Paddock
Scott E. Miller
Richard L. Doutt
Scott E. Miller, E. Paddock
WGA
Thorp, R.W.
Miller, D.R.
Donovan, B.J.
Schuster, R.O.
Brumley, R.L.
Horning, D.S.
Grigarick, A.A.
R.C. Schuster
R.L. Langston
James Bailey
dlbowls
Micah Freedman
UCSBees; David Dewey
Martin Dale Purdy
Lauren Z<e1>rate
Christopher Leslie
Geoffrey Jewel
UCSBees Survey; David Dewey
UCSBees survey; David Dewey
